Test Case,Event Message,Pass / Fail,
EngineLoad_NormalFlow,Finished Typing the text: SIM0ELD00001,Pass,
EngineLoad_NormalFlow,ClientAudioManager playing ok sound.,Pass,
EngineLoad_NormalFlow,UppPartSN01 color changed to java.awt.Color[r=0/g=255/b=0],Pass,
EngineLoad_NormalFlow,Sent Refereshing Screen in 10 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_NormalFlow,Sent Refereshing Screen in 9 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_NormalFlow,Sent Refereshing Screen in 8 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_NormalFlow,Sent Refereshing Screen in 7 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_NormalFlow,Sent Refereshing Screen in 6 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_NormalFlow,Sent Refereshing Screen in 5 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_NormalFlow,Sent Refereshing Screen in 4 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_NormalFlow,Sent Refereshing Screen in 3 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_NormalFlow,Sent Refereshing Screen in 2 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_NormalFlow,Sent Refereshing Screen in 1 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_NormalFlow,JTextFieldProductID color changed to java.awt.Color[r=255/g=255/b=255],Pass,
EngineLoad_NormalFlow,saved part: ["SIM0ENGINE0LOAD01"/"ENGINE"/"SIM0ELD00001"/OK],Pass,
EngineLoad_NormalFlow,saved part: ["SIM0ENGINE0LOAD01"/"ENGINE_LOAD_PLC_MONITOR"/"Warning Pop-up notShown"/OK],Pass,
EngineLoad_NormalFlow,saved part: ["SIM0ENGINE0LOAD01"/"ENGINE_LOAD_PLC_UPDATE"/""/OK],Pass,
EngineLoad_NormalFlow,JTextFieldProductID gained focus,Pass,
EngineLoad_NormalFlow,Invoke TrackingService.track\(ENGINE/ SIM0ELD00001/ PP10072\) takes ([0-9]*) ms,Pass,
EngineLoad_NormalFlow,Invoke TrackingService.track\(FRAME/ SIM0ENGINE0LOAD01/ PP10072\) takes ([0-9]*) ms,Pass,
EngineLoad_ManualOverride,,Pass,
EngineLoad_ManualOverride,invoke method:refreshScreen,Pass,
EngineLoad_ManualOverride,JTextFieldProductID gained focus,Pass,
EngineLoad_ManualOverride,Finished Typing the text: SIM0ENGINE0LOAD01,Pass,
EngineLoad_ManualOverride,ClientAudioManager playing ok sound.,Pass,
EngineLoad_ManualOverride,JTextFieldProductID color changed to java.awt.Color[r=0/g=255/b=0],Pass,
EngineLoad_ManualOverride,Finished Typing the text: SIM0ELD00001,Pass,
EngineLoad_ManualOverride,ClientAudioManager playing ok sound.,Pass,
EngineLoad_ManualOverride,UppPartSN01 color changed to java.awt.Color[r=0/g=255/b=0],Pass,
EngineLoad_ManualOverride,ClientAudioManager playing ng sound.,Pass,
EngineLoad_ManualOverride,ClientAudioManager playing disconnected sound.,Pass,
EngineLoad_ManualOverride,Saved data into database on server.,Pass,
EngineLoad_ManualOverride,Sent Refereshing Screen in 10 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_ManualOverride,Sent Refereshing Screen in 9 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_ManualOverride,Sent Refereshing Screen in 8 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_ManualOverride,Sent Refereshing Screen in 7 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_ManualOverride,Sent Refereshing Screen in 6 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_ManualOverride,Sent Refereshing Screen in 5 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_ManualOverride,Sent Refereshing Screen in 4 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_ManualOverride,Sent Refereshing Screen in 3 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_ManualOverride,Sent Refereshing Screen in 2 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_ManualOverride,Sent Refereshing Screen in 1 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_ManualOverride,JTextFieldProductID gained focus,Pass,
EngineLoad_ManualOverride,JTextFieldProductID color changed to java.awt.Color[r=255/g=255/b=255],Pass,
EngineLoad_ManualOverride,saved part: ["SIM0ENGINE0LOAD01"/"ENGINE"/"SIM0ELD00001"/OK],Pass,
EngineLoad_ManualOverride,saved part: ["SIM0ENGINE0LOAD01"/"ENGINE_LOAD_PLC_MONITOR"/"Warning Pop-up overridden"/OK],Pass,
EngineLoad_ManualOverride,saved part: ["SIM0ENGINE0LOAD01"/"ENGINE_LOAD_PLC_UPDATE"/""/OK],Pass,
EngineLoad_ManualOverride,Invoke TrackingService.track\(ENGINE/ SIM0ELD00001/ PP10072\) takes ([0-9]*) ms,Pass,
EngineLoad_ManualOverride,Invoke TrackingService.track\(FRAME/ SIM0ENGINE0LOAD01/ PP10072\) takes ([0-9]*) ms,Pass,
EngineLoad_EngineNotFound,Finished Typing the text: 111111111111,Pass,
EngineLoad_EngineNotFound,ClientAudioManager playing repeated ng sound.,Pass,
EngineLoad_EngineNotFound,UppPartSN01 color changed to java.awt.Color[r=255/g=0/b=0],Pass,
EngineLoad_EngineNotFound,,Pass,
EngineLoad_EngineNotFound,JTextFieldProductID gained focus,Pass,
EngineLoad_DuplicateEngineFrame,,Pass,
EngineLoad_DuplicateEngineFrame,invoke method:refreshScreen,Pass,
EngineLoad_DuplicateEngineFrame,JTextFieldProductID gained focus,Pass,
EngineLoad_DuplicateEngineFrame,Finished Typing the text: SIM0ENGINE0LOAD01,Pass,
EngineLoad_DuplicateEngineFrame,ClientAudioManager playing ok sound.,Pass,
EngineLoad_DuplicateEngineFrame,JTextFieldProductID color changed to java.awt.Color[r=0/g=255/b=0],Pass,
EngineLoad_DuplicateEngineFrame,Finished Typing the text: SIM0ELD00001,Pass,
EngineLoad_DuplicateEngineFrame,ClientAudioManager playing ok sound.,Pass,
EngineLoad_DuplicateEngineFrame,UppPartSN01 color changed to java.awt.Color[r=0/g=255/b=0],Pass,
EngineLoad_DuplicateEngineFrame,ClientAudioManager playing ng sound.,Pass,
EngineLoad_DuplicateEngineFrame,ClientAudioManager playing disconnected sound.,Pass,
EngineLoad_DuplicateEngineFrame,Saved data into database on server.,Pass,
EngineLoad_DuplicateEngineFrame,Sent Refereshing Screen in 10 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_DuplicateEngineFrame,Sent Refereshing Screen in 9 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_DuplicateEngineFrame,Sent Refereshing Screen in 8 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_DuplicateEngineFrame,Sent Refereshing Screen in 7 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_DuplicateEngineFrame,Sent Refereshing Screen in 6 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_DuplicateEngineFrame,Sent Refereshing Screen in 5 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_DuplicateEngineFrame,Sent Refereshing Screen in 4 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_DuplicateEngineFrame,Sent Refereshing Screen in 3 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_DuplicateEngineFrame,Sent Refereshing Screen in 2 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_DuplicateEngineFrame,Sent Refereshing Screen in 1 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_DuplicateEngineFrame,JTextFieldProductID gained focus,Pass,
EngineLoad_DuplicateEngineFrame,JTextFieldProductID color changed to java.awt.Color[r=255/g=255/b=255],Pass,
EngineLoad_DuplicateEngineFrame,saved part: ["SIM0ENGINE0LOAD01"/"ENGINE"/"SIM0ELD00001"/OK],Pass,
EngineLoad_DuplicateEngineFrame,saved part: ["SIM0ENGINE0LOAD01"/"ENGINE_LOAD_PLC_MONITOR"/"Warning Pop-up overridden"/OK],Pass,
EngineLoad_DuplicateEngineFrame,saved part: ["SIM0ENGINE0LOAD01"/"ENGINE_LOAD_PLC_UPDATE"/""/OK],Pass,
EngineLoad_DuplicateEngineFrame,Invoke TrackingService.track\(ENGINE/ SIM0ELD00001/ PP10072\) takes ([0-9]*) ms,Pass,
EngineLoad_DuplicateEngineFrame,Invoke TrackingService.track\(FRAME/ SIM0ENGINE0LOAD01/ PP10072\) takes ([0-9]*) ms,Pass,
EngineLoad_DuplicateEngineFrame,Finished Typing the text: SIM0ELD00001,Pass,
EngineLoad_DuplicateEngineFrame,Sent Engine SIM0ELD00001 already assigned to Frame SIM0ENGINE0LOAD01:java.awt.Color[r=255/g=0/b=0] to message area,Pass,
EngineLoad_DuplicateEngineFrame,UppPartSN01 color changed to java.awt.Color[r=255/g=0/b=0],Pass,
EngineLoad_DuplicateEngineFrame,JTextFieldProductID gained focus,Pass,
EngineLoad_DuplicateEngineFrame,Finished Typing the text: SIM0ENGINE0LOAD01,Pass,
EngineLoad_DuplicateEngineFrame,JTextFieldProductID color changed to java.awt.Color[r=255/g=0/b=0],Pass,
EngineLoad_DuplicateEngineFrame,Sent Frame SIM0ENGINE0LOAD01 already assigned to Engine SIM0ELD00001:java.awt.Color[r=255/g=0/b=0] to message area,Pass,
EngineLoad_StressTest,,Pass,
EngineLoad_StressTest,invoke method:refreshScreen,Pass,
EngineLoad_StressTest,JTextFieldProductID gained focus,Pass,
EngineLoad_StressTest,Finished Typing the text: SIM0ENGINE0LOAD01,Pass,
EngineLoad_StressTest,ClientAudioManager playing ok sound.,Pass,
EngineLoad_StressTest,JTextFieldProductID color changed to java.awt.Color[r=0/g=255/b=0],Pass,
EngineLoad_StressTest,Finished Typing the text: SIM0ELD00001,Pass,
EngineLoad_StressTest,ClientAudioManager playing ok sound.,Pass,
EngineLoad_StressTest,UppPartSN01 color changed to java.awt.Color[r=0/g=255/b=0],Pass,
EngineLoad_StressTest,ClientAudioManager playing ng sound.,Pass,
EngineLoad_StressTest,ClientAudioManager playing disconnected sound.,Pass,
EngineLoad_StressTest,Saved data into database on server.,Pass,
EngineLoad_StressTest,Sent Refereshing Screen in 10 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_StressTest,Sent Refereshing Screen in 9 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_StressTest,Sent Refereshing Screen in 8 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_StressTest,Sent Refereshing Screen in 7 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_StressTest,Sent Refereshing Screen in 6 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_StressTest,Sent Refereshing Screen in 5 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_StressTest,Sent Refereshing Screen in 4 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_StressTest,Sent Refereshing Screen in 3 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_StressTest,Sent Refereshing Screen in 2 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_StressTest,Sent Refereshing Screen in 1 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_StressTest,JTextFieldProductID gained focus,Pass,
EngineLoad_StressTest,JTextFieldProductID color changed to java.awt.Color[r=255/g=255/b=255],Pass,
EngineLoad_StressTest,saved part: ["SIM0ENGINE0LOAD01"/"ENGINE"/"SIM0ELD00001"/OK],Pass,
EngineLoad_StressTest,saved part: ["SIM0ENGINE0LOAD01"/"ENGINE_LOAD_PLC_MONITOR"/"Warning Pop-up overridden"/OK],Pass,
EngineLoad_StressTest,saved part: ["SIM0ENGINE0LOAD01"/"ENGINE_LOAD_PLC_UPDATE"/""/OK],Pass,
EngineLoad_StressTest,Invoke TrackingService.track\(ENGINE/ SIM0ELD00001/ PP10072\) takes ([0-9]*) ms,Pass,
EngineLoad_StressTest,Invoke TrackingService.track\(FRAME/ SIM0ENGINE0LOAD01/ PP10072\) takes ([0-9]*) ms,Pass,
EngineLoad_StressTest,Finished Typing the text: SIM0ELD00002,Pass,
EngineLoad_StressTest,ClientAudioManager playing ok sound.,Pass,
EngineLoad_StressTest,UppPartSN01 color changed to java.awt.Color[r=0/g=255/b=0],Pass,
EngineLoad_StressTest,ClientAudioManager playing ng sound.,Pass,
EngineLoad_StressTest,ClientAudioManager playing disconnected sound.,Pass,
EngineLoad_StressTest,Saved data into database on server.,Pass,
EngineLoad_StressTest,Sent Refereshing Screen in 10 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_StressTest,Sent Refereshing Screen in 9 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_StressTest,Sent Refereshing Screen in 8 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_StressTest,Sent Refereshing Screen in 7 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_StressTest,Sent Refereshing Screen in 6 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_StressTest,Sent Refereshing Screen in 5 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_StressTest,Sent Refereshing Screen in 4 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_StressTest,Sent Refereshing Screen in 3 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_StressTest,Sent Refereshing Screen in 2 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_StressTest,Sent Refereshing Screen in 1 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_StressTest,JTextFieldProductID gained focus,Pass,
EngineLoad_StressTest,JTextFieldProductID color changed to java.awt.Color[r=255/g=255/b=255],Pass,
EngineLoad_StressTest,saved part: ["SIM0ENGINE0LOAD02"/"ENGINE"/"SIM0ELD00002"/OK],Pass,
EngineLoad_StressTest,saved part: ["SIM0ENGINE0LOAD02"/"ENGINE_LOAD_PLC_MONITOR"/"Warning Pop-up overridden"/OK],Pass,
EngineLoad_StressTest,saved part: ["SIM0ENGINE0LOAD02"/"ENGINE_LOAD_PLC_UPDATE"/""/OK],Pass,
EngineLoad_StressTest,Invoke TrackingService.track\(ENGINE/ SIM0ELD00002/ PP10072\) takes ([0-9]*) ms,Pass,
EngineLoad_StressTest,Invoke TrackingService.track\(FRAME/ SIM0ENGINE0LOAD02/ PP10072\) takes ([0-9]*) ms,Pass,
EngineLoad_StressTest,Finished Typing the text: SIM0ELD00003,Pass,
EngineLoad_StressTest,ClientAudioManager playing ok sound.,Pass,
EngineLoad_StressTest,UppPartSN01 color changed to java.awt.Color[r=0/g=255/b=0],Pass,
EngineLoad_StressTest,ClientAudioManager playing ng sound.,Pass,
EngineLoad_StressTest,ClientAudioManager playing disconnected sound.,Pass,
EngineLoad_StressTest,Saved data into database on server.,Pass,
EngineLoad_StressTest,Sent Refereshing Screen in 10 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_StressTest,Sent Refereshing Screen in 9 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_StressTest,Sent Refereshing Screen in 8 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_StressTest,Sent Refereshing Screen in 7 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_StressTest,Sent Refereshing Screen in 6 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_StressTest,Sent Refereshing Screen in 5 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_StressTest,Sent Refereshing Screen in 4 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_StressTest,Sent Refereshing Screen in 3 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_StressTest,Sent Refereshing Screen in 2 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_StressTest,Sent Refereshing Screen in 1 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_StressTest,JTextFieldProductID gained focus,Pass,
EngineLoad_StressTest,JTextFieldProductID color changed to java.awt.Color[r=255/g=255/b=255],Pass,
EngineLoad_StressTest,saved part: ["SIM0ENGINE0LOAD03"/"ENGINE"/"SIM0ELD00003"/OK],Pass,
EngineLoad_StressTest,saved part: ["SIM0ENGINE0LOAD03"/"ENGINE_LOAD_PLC_MONITOR"/"Warning Pop-up overridden"/OK],Pass,
EngineLoad_StressTest,saved part: ["SIM0ENGINE0LOAD03"/"ENGINE_LOAD_PLC_UPDATE"/""/OK],Pass,
EngineLoad_StressTest,Invoke TrackingService.track\(ENGINE/ SIM0ELD00003/ PP10072\) takes ([0-9]*) ms,Pass,
EngineLoad_StressTest,Invoke TrackingService.track\(FRAME/ SIM0ENGINE0LOAD03/ PP10072\) takes ([0-9]*) ms,Pass,
EngineLoad_StressTest,Finished Typing the text: SIM0ELD00004,Pass,
EngineLoad_StressTest,ClientAudioManager playing ok sound.,Pass,
EngineLoad_StressTest,UppPartSN01 color changed to java.awt.Color[r=0/g=255/b=0],Pass,
EngineLoad_StressTest,ClientAudioManager playing ng sound.,Pass,
EngineLoad_StressTest,ClientAudioManager playing disconnected sound.,Pass,
EngineLoad_StressTest,Saved data into database on server.,Pass,
EngineLoad_StressTest,Sent Refereshing Screen in 10 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_StressTest,Sent Refereshing Screen in 9 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_StressTest,Sent Refereshing Screen in 8 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_StressTest,Sent Refereshing Screen in 7 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_StressTest,Sent Refereshing Screen in 6 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_StressTest,Sent Refereshing Screen in 5 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_StressTest,Sent Refereshing Screen in 4 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_StressTest,Sent Refereshing Screen in 3 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
EngineLoad_StressTest,Sent Refereshing Screen in 2 seconds.:java.awt.Color[r=192/g=192/b=192] to message area,Pass,
